Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
2744,62,Male,Blouse,Accessories,67,Wyoming,M,Red,Winter,4.682923,No,Free Shipping,Yes,No,46,Bank Transfer,Annually
1659,22,Male,Sandals,Accessories,23,Hawaii,S,White,Summer,2.736382,No,Standard,Yes,Yes,34,Venmo,Bi-Weekly
2439,21,Male,Scarf,Clothing,77,New Hampshire,M,Maroon,Fall,3.79643,No,Store Pickup,No,Yes,43,Debit Card,Every 3 Months
3407,27,Male,Socks,Accessories,26,Nevada,L,Beige,Winter,3.255002,Yes,Free Shipping,Yes,No,30,Bank Transfer,Monthly
3748,31,Female,Shoes,Accessories,55,Idaho,M,Black,Fall,4.599148,No,Standard,No,No,6,PayPal,Quarterly
3716,61,Female,Gloves,Accessories,76,Kentucky,XL,Silver,Spring,3.683842,Yes,Free Shipping,Yes,No,40,Bank Transfer,Annually
2708,51,Male,Belt,Accessories,28,Maine,XL,Black,Spring,3.346928,No,2-Day Shipping,No,No,43,PayPal,Quarterly
942,24,Male,Blouse,Clothing,96,California,L,Black,Summer,4.911924,No,Free Shipping,No,No,33,Bank Transfer,Fortnightly
2396,62,Male,T-shirt,Clothing,81,Maine,S,Silver,Summer,3.927117,Yes,Next Day Air,Yes,No,46,Credit Card,Annually
3806,47,Male,Backpack,Outerwear,30,Virginia,S,Lavender,Summer,2.830754,No,Next Day Air,Yes,Yes,46,Venmo,Annually
572,25,Male,Gloves,Clothing,31,California,S,Charcoal,Fall,3.929799,No,Standard,No,Yes,34,Bank Transfer,Quarterly
3539,36,Female,Dress,Accessories,84,Oklahoma,M,Magenta,Winter,3.22097,No,Next Day Air,No,Yes,32,Cash,Annually
3091,32,Male,Backpack,Accessories,26,Mississippi,XL,Brown,Fall,3.980241,Yes,Standard,No,Yes,39,Credit Card,Bi-Weekly
2314,55,Male,Backpack,Accessories,25,Vermont,M,Teal,Fall,3.528218,Yes,Standard,Yes,Yes,31,Venmo,Annually
2143,36,Female,Coat,Accessories,84,Idaho,M,Cyan,Winter,3.887302,No,Free Shipping,Yes,Yes,20,Cash,Monthly
921,57,Male,Sneakers,Clothing,22,West Virginia,L,Gray,Summer,2.543358,No,Store Pickup,No,Yes,28,Debit Card,Every 3 Months
524,37,Female,Skirt,Footwear,28,Hawaii,L,Silver,Fall,2.617769,Yes,Free Shipping,Yes,Yes,43,Debit Card,Fortnightly
3172,61,Female,T-shirt,Clothing,86,Virginia,S,Pink,Winter,2.556373,No,Next Day Air,No,Yes,32,Venmo,Fortnightly
2269,69,Male,Pants,Accessories,70,Colorado,M,Charcoal,Spring,3.369247,No,Express,Yes,No,17,PayPal,Fortnightly
2118,43,Male,Hoodie,Outerwear,52,Wisconsin,M,Blue,Winter,4.1269,No,Store Pickup,Yes,No,31,Cash,Every 3 Months
495,41,Male,Pants,Clothing,31,Arizona,M,Silver,Winter,4.220904,Yes,Next Day Air,Yes,Yes,11,Credit Card,Annually
264,51,Male,Blouse,Clothing,48,Rhode Island,L,Orange,Spring,3.335895,No,Express,No,No,17,Cash,Every 3 Months
320,24,Male,Scarf,Clothing,34,Utah,M,Maroon,Summer,2.616029,Yes,Express,Yes,No,32,PayPal,Every 3 Months
243,64,Male,Sneakers,Clothing,66,Wisconsin,S,Olive,Winter,4.619047,No,Store Pickup,No,No,19,Debit Card,Annually
3121,18,Male,Sweater,Clothing,95,Rhode Island,M,Cyan,Winter,3.278777,Yes,Express,Yes,No,36,Venmo,Monthly
2770,58,Female,Dress,Accessories,24,Arizona,L,Orange,Spring,4.990383,No,Store Pickup,No,No,15,Bank Transfer,Bi-Weekly
3655,39,Male,Shoes,Clothing,86,Pennsylvania,M,Blue,Summer,3.465616,No,2-Day Shipping,Yes,No,40,Debit Card,Bi-Weekly
1836,65,Male,Gloves,Clothing,39,New Jersey,S,Indigo,Fall,2.598967,No,Free Shipping,No,Yes,18,Credit Card,Weekly
3541,39,Female,Jewelry,Clothing,61,Arkansas,L,Violet,Fall,2.813854,No,Next Day Air,No,No,49,Debit Card,Fortnightly
1407,54,Female,Sunglasses,Clothing,59,Mississippi,L,Red,Summer,4.379739,Yes,Next Day Air,No,No,21,PayPal,Bi-Weekly
643,65,Male,Shirt,Clothing,49,Missouri,M,Orange,Spring,4.002161,No,Store Pickup,Yes,Yes,4,Debit Card,Every 3 Months
263,30,Female,Handbag,Accessories,37,New Hampshire,XL,Orange,Spring,4.662085,No,Next Day Air,No,No,41,Cash,Monthly
1681,20,Male,Shirt,Clothing,72,Alaska,M,Teal,Summer,4.642278,No,Standard,Yes,No,29,Credit Card,Quarterly
1506,55,Female,Belt,Accessories,27,Hawaii,M,Red,Spring,4.903141,No,Next Day Air,No,Yes,43,Bank Transfer,Weekly
1305,46,Male,Shirt,Footwear,87,Kansas,M,Brown,Spring,4.594676,No,Express,Yes,No,35,PayPal,Annually
1349,52,Male,Sandals,Accessories,38,North Carolina,L,Pink,Summer,3.952941,No,Standard,Yes,No,37,Bank Transfer,Every 3 Months
1217,22,Male,Backpack,Accessories,73,Alaska,L,Black,Spring,4.54079,No,Free Shipping,No,Yes,4,PayPal,Monthly
2421,62,Female,Hoodie,Clothing,61,Maryland,M,Gray,Fall,4.797666,No,Store Pickup,Yes,Yes,19,PayPal,Quarterly
2611,37,Female,Socks,Outerwear,90,California,L,Teal,Winter,4.689773,No,Free Shipping,No,No,4,Bank Transfer,Quarterly
1394,21,Male,Pants,Clothing,97,Wyoming,M,Lavender,Fall,4.542665,Yes,Free Shipping,Yes,Yes,2,Debit Card,Monthly
632,44,Male,Coat,Accessories,85,Tennessee,M,Charcoal,Winter,3.853031,No,Store Pickup,Yes,No,46,Cash,Annually
2725,55,Male,Belt,Clothing,35,Ohio,M,Olive,Summer,4.28669,No,Next Day Air,No,No,35,Bank Transfer,Fortnightly
789,40,Male,Hat,Accessories,77,New Mexico,M,Gold,Fall,4.485666,Yes,Express,No,No,31,Venmo,Annually
3093,42,Male,Coat,Accessories,82,Colorado,L,Pink,Fall,3.884844,Yes,Standard,No,No,17,Debit Card,Annually
442,51,Female,Jewelry,Clothing,37,Arizona,M,Orange,Spring,3.81962,No,Standard,No,Yes,9,Debit Card,Monthly
1662,29,Female,Belt,Clothing,78,Minnesota,S,White,Spring,2.915934,No,Free Shipping,Yes,No,4,PayPal,Weekly
159,63,Male,Sandals,Footwear,83,Illinois,L,Magenta,Fall,3.373266,No,Next Day Air,Yes,No,46,Cash,Fortnightly
2712,47,Female,Shorts,Footwear,36,Washington,L,Olive,Summer,4.370905,Yes,Store Pickup,Yes,Yes,36,PayPal,Every 3 Months
1415,55,Female,Socks,Accessories,65,Utah,M,Magenta,Fall,3.210132,Yes,Standard,Yes,No,19,PayPal,Bi-Weekly
3402,46,Male,Sandals,Accessories,98,Montana,M,Silver,Fall,3.980379,No,2-Day Shipping,Yes,Yes,29,Venmo,Bi-Weekly
1025,41,Female,T-shirt,Outerwear,34,Delaware,L,Charcoal,Winter,3.078348,No,Free Shipping,Yes,Yes,14,Credit Card,Weekly
1757,41,Female,Backpack,Clothing,95,Montana,S,Green,Fall,3.903873,No,Free Shipping,No,No,40,Credit Card,Every 3 Months
1071,61,Male,Blouse,Clothing,96,Tennessee,L,Olive,Winter,4.039133,No,2-Day Shipping,Yes,No,13,Debit Card,Quarterly
2425,48,Male,Scarf,Clothing,33,New York,S,Green,Summer,3.647496,No,Next Day Air,No,No,10,Debit Card,Quarterly
936,24,Male,Boots,Clothing,44,Mississippi,L,Red,Fall,3.181881,No,Free Shipping,Yes,No,31,Cash,Bi-Weekly
2755,43,Female,Pants,Outerwear,79,Wisconsin,L,Violet,Fall,4.385857,No,Free Shipping,Yes,No,12,PayPal,Annually
1116,54,Female,Scarf,Clothing,59,Alabama,M,Green,Summer,3.005856,No,Express,No,No,27,PayPal,Monthly
3191,45,Male,Dress,Accessories,58,Massachusetts,L,Violet,Winter,2.767313,Yes,Store Pickup,No,No,1,Venmo,Annually
3113,40,Female,Jewelry,Clothing,84,West Virginia,S,Cyan,Winter,3.757901,Yes,Free Shipping,No,No,35,Bank Transfer,Every 3 Months
3421,54,Male,Jewelry,Clothing,33,North Carolina,M,Turquoise,Fall,2.910064,No,Next Day Air,No,No,43,PayPal,Bi-Weekly
183,38,Male,Shirt,Footwear,55,Massachusetts,M,Gray,Winter,4.392053,Yes,Standard,Yes,Yes,44,Cash,Monthly
2664,44,Female,T-shirt,Accessories,95,New Mexico,M,Pink,Summer,3.69984,No,2-Day Shipping,No,Yes,14,Cash,Monthly
2216,36,Male,Jeans,Clothing,95,Kentucky,L,White,Spring,3.959242,Yes,Express,No,Yes,32,PayPal,Weekly
782,35,Male,Coat,Clothing,43,Washington,S,Beige,Winter,4.970534,No,Store Pickup,Yes,Yes,37,Credit Card,Weekly
2363,63,Male,Jewelry,Clothing,36,Hawaii,S,Pink,Winter,3.477937,Yes,Standard,No,No,12,Debit Card,Monthly
1544,46,Male,Shoes,Clothing,24,Indiana,XL,Yellow,Summer,3.376668,Yes,Express,Yes,No,42,Bank Transfer,Every 3 Months
2477,35,Female,Coat,Clothing,60,Louisiana,M,Green,Summer,3.337655,No,Store Pickup,Yes,No,46,PayPal,Quarterly
3270,58,Male,Sandals,Clothing,98,Maryland,L,Olive,Winter,3.083865,No,Free Shipping,No,No,39,Bank Transfer,Every 3 Months
556,68,Male,Coat,Clothing,72,Vermont,M,Turquoise,Spring,3.352787,Yes,Free Shipping,No,No,4,Debit Card,Weekly
701,51,Male,Jewelry,Clothing,23,Vermont,XL,Magenta,Fall,4.630797,No,Express,Yes,Yes,42,Bank Transfer,Annually
1134,65,Female,Shorts,Clothing,63,Mississippi,M,Violet,Spring,4.575445,No,Next Day Air,Yes,Yes,45,Credit Card,Every 3 Months
1968,50,Male,Shoes,Footwear,59,Virginia,S,White,Summer,2.560739,Yes,Free Shipping,No,No,21,Venmo,Quarterly
114,48,Female,T-shirt,Clothing,92,Massachusetts,L,Cyan,Fall,4.039719,No,Store Pickup,No,No,11,Credit Card,Quarterly
3399,28,Male,Sunglasses,Accessories,55,Kentucky,S,Silver,Winter,3.881063,No,Next Day Air,Yes,Yes,13,Debit Card,Annually
147,29,Female,Shorts,Clothing,28,Virginia,L,Lavender,Spring,3.36218,No,Express,Yes,Yes,11,Bank Transfer,Fortnightly
161,61,Male,Sunglasses,Accessories,21,Connecticut,M,Brown,Spring,2.768705,No,Next Day Air,No,No,28,Debit Card,Bi-Weekly
792,23,Male,Sandals,Clothing,79,Pennsylvania,XL,Cyan,Winter,2.502669,No,Store Pickup,Yes,No,19,Cash,Quarterly
2006,60,Female,Sneakers,Footwear,71,New Mexico,M,Gold,Fall,4.184733,Yes,Free Shipping,No,No,21,Venmo,Every 3 Months
593,56,Male,T-shirt,Footwear,56,Rhode Island,L,Gray,Summer,3.675054,No,Free Shipping,No,Yes,23,Cash,Annually
2287,50,Male,T-shirt,Clothing,63,Alaska,S,Charcoal,Fall,4.363941,No,Free Shipping,No,Yes,16,Venmo,Every 3 Months
696,50,Male,Jacket,Clothing,78,Wisconsin,L,Indigo,Spring,3.213317,No,Express,No,No,41,PayPal,Every 3 Months
2645,68,Male,Pants,Footwear,66,Montana,M,Pink,Summer,4.238142,No,Standard,No,Yes,1,Credit Card,Annually
3447,41,Male,Jewelry,Clothing,30,New Mexico,XL,Peach,Fall,4.131615,No,Standard,No,Yes,45,Cash,Every 3 Months
2958,67,Male,T-shirt,Clothing,48,Massachusetts,M,Peach,Spring,3.596378,No,Standard,Yes,No,43,Credit Card,Annually
3790,64,Female,Jeans,Clothing,50,Michigan,M,Charcoal,Spring,3.966417,No,Next Day Air,Yes,No,47,Cash,Fortnightly
366,57,Male,T-shirt,Outerwear,44,South Carolina,L,Maroon,Spring,4.864917,Yes,Next Day Air,Yes,No,45,Credit Card,Every 3 Months
2688,66,Male,Boots,Clothing,39,Minnesota,L,Maroon,Spring,4.334464,Yes,Express,Yes,No,9,Bank Transfer,Annually
3326,66,Female,Gloves,Accessories,46,Montana,M,Maroon,Fall,3.980231,Yes,Free Shipping,No,Yes,16,Debit Card,Fortnightly
3424,62,Male,Jewelry,Clothing,35,New Hampshire,XL,Yellow,Winter,3.143678,No,2-Day Shipping,No,No,26,Credit Card,Monthly
1613,46,Male,Gloves,Clothing,79,South Carolina,XL,Indigo,Spring,4.756775,No,Express,No,No,27,PayPal,Monthly
3013,66,Female,Shorts,Clothing,41,Massachusetts,XL,Charcoal,Summer,4.432909,No,Express,No,Yes,14,Venmo,Every 3 Months
551,46,Female,Hat,Clothing,23,Kansas,M,Teal,Winter,4.554921,No,2-Day Shipping,No,Yes,49,Debit Card,Annually
2902,38,Male,Sweater,Accessories,98,Idaho,XL,Purple,Spring,2.718583,No,Free Shipping,Yes,Yes,10,Venmo,Annually
2154,21,Male,Shorts,Clothing,48,Mississippi,XL,Red,Summer,2.779609,Yes,Free Shipping,Yes,Yes,1,PayPal,Monthly
1339,44,Male,Pants,Footwear,65,Nebraska,L,Charcoal,Summer,3.597872,Yes,2-Day Shipping,No,No,32,Credit Card,Every 3 Months
1257,61,Male,Sweater,Accessories,66,Idaho,L,Orange,Summer,2.53152,No,Store Pickup,No,Yes,14,Cash,Annually
979,51,Female,Sweater,Accessories,57,Oregon,M,Maroon,Winter,2.765129,No,Express,Yes,Yes,7,Cash,Monthly
2738,40,Male,Blouse,Clothing,25,Maryland,L,Black,Summer,3.415657,No,Store Pickup,No,Yes,12,Debit Card,Bi-Weekly
2480,28,Male,Belt,Footwear,98,Oklahoma,M,Olive,Winter,4.65339,No,Standard,No,No,25,Debit Card,Annually
3182,52,Female,Pants,Clothing,42,Mississippi,M,White,Fall,2.557613,No,Express,No,No,45,Debit Card,Quarterly
777,45,Female,Socks,Accessories,58,Nevada,M,Charcoal,Winter,4.901055,No,Next Day Air,No,No,15,Debit Card,Every 3 Months
3495,39,Female,Coat,Clothing,33,Washington,S,Yellow,Summer,2.736811,No,Store Pickup,No,No,21,Credit Card,Quarterly
638,40,Male,Jewelry,Footwear,39,South Carolina,XL,Gold,Winter,3.172772,No,2-Day Shipping,Yes,Yes,25,Debit Card,Bi-Weekly
3773,22,Female,Scarf,Accessories,52,North Carolina,M,Pink,Winter,2.739024,Yes,Store Pickup,No,No,12,PayPal,Every 3 Months
2408,21,Female,Shorts,Clothing,23,Minnesota,M,Black,Summer,3.932306,No,Express,No,Yes,15,Bank Transfer,Annually
3795,47,Male,Scarf,Footwear,68,South Carolina,L,Red,Spring,2.821671,No,Store Pickup,Yes,No,41,Credit Card,Monthly
3026,49,Female,Jewelry,Clothing,45,Utah,M,Gold,Winter,4.726449,No,Standard,Yes,Yes,46,PayPal,Monthly
895,69,Male,Sweater,Accessories,78,Washington,M,Peach,Fall,3.751546,Yes,Store Pickup,No,No,43,Debit Card,Monthly
999,24,Male,Shorts,Accessories,56,Kansas,M,White,Summer,3.842712,Yes,Store Pickup,Yes,No,3,Debit Card,Every 3 Months
974,49,Male,T-shirt,Accessories,76,Wisconsin,XL,Brown,Spring,4.932452,Yes,Express,No,No,16,Bank Transfer,Fortnightly
772,28,Male,Sweater,Clothing,71,North Carolina,M,Magenta,Fall,3.058219,No,2-Day Shipping,No,Yes,19,Bank Transfer,Fortnightly
1932,32,Female,Jeans,Accessories,68,Arizona,M,Brown,Winter,2.861321,Yes,2-Day Shipping,No,No,47,Cash,Bi-Weekly
3740,34,Female,Blouse,Accessories,64,North Carolina,M,Gray,Summer,3.911559,No,Express,No,Yes,20,PayPal,Annually
787,47,Male,Sweater,Accessories,29,Mississippi,S,Black,Spring,3.509536,Yes,Free Shipping,Yes,No,49,PayPal,Bi-Weekly
3864,46,Male,Sweater,Accessories,70,Wisconsin,M,Gray,Spring,3.452667,No,Express,No,No,9,Venmo,Every 3 Months
2285,47,Male,Shoes,Outerwear,94,Michigan,L,Violet,Winter,3.38497,No,Standard,Yes,No,41,Bank Transfer,Every 3 Months
613,55,Male,Backpack,Outerwear,85,Maine,XL,Gold,Winter,4.204185,No,Free Shipping,No,No,18,Bank Transfer,Every 3 Months
40,31,Male,Boots,Clothing,84,Arizona,XL,Blue,Winter,3.633455,No,Express,No,Yes,41,Cash,Annually
2747,56,Female,T-shirt,Clothing,58,North Dakota,M,Yellow,Summer,2.660371,No,2-Day Shipping,No,No,9,Bank Transfer,Every 3 Months
574,67,Male,Hoodie,Clothing,63,Alabama,M,Teal,Winter,3.673699,No,Free Shipping,Yes,Yes,25,Credit Card,Bi-Weekly
1410,35,Female,Sunglasses,Clothing,53,Ohio,M,White,Fall,3.506762,Yes,2-Day Shipping,No,No,11,PayPal,Every 3 Months
598,46,Female,Hat,Clothing,92,Illinois,L,Magenta,Summer,3.260971,No,Express,No,No,5,Debit Card,Weekly
1125,35,Female,Socks,Clothing,22,Tennessee,M,Gold,Spring,4.72656,No,Store Pickup,Yes,No,5,Cash,Weekly
1857,27,Male,Sandals,Footwear,72,Mississippi,L,Magenta,Fall,3.978884,No,Next Day Air,No,No,43,PayPal,Every 3 Months
1107,46,Male,Socks,Footwear,94,Oklahoma,L,Charcoal,Summer,3.262406,No,Standard,No,Yes,20,Venmo,Fortnightly
